X_mm,Y_mm
0.404,227.45200000000003
0.404,227.048
0.404,226.644
0.404,226.24
0.404,225.836
0.404,225.43200000000002
0.404,225.02800000000002
0.404,224.62400000000002
0.404,224.22000000000003
0.0,223.816
0.0,223.412
0.0,223.008
0.0,222.604
0.0,222.20000000000002
0.0,221.79600000000002
0.0,221.39200000000002
0.0,220.98800000000003
0.0,220.584
0.0,220.18
0.0,219.776
0.0,219.372
0.0,218.96800000000002
0.0,218.56400000000002
0.0,218.16000000000003
0.0,217.756
0.0,217.352
0.0,216.948
0.0,216.544
0.0,216.14000000000001
0.0,215.73600000000002
0.0,215.33200000000002
0.0,214.92800000000003
0.0,214.524
0.0,214.12
0.0,213.716
0.0,213.312
0.0,212.90800000000002
0.0,212.50400000000002
0.0,212.10000000000002
0.0,211.69600000000003
0.0,211.292
0.0,210.888
0.0,210.484
0.0,210.08
0.0,209.67600000000002
0.0,209.27200000000002
0.0,208.86800000000002
0.0,208.46400000000003
0.404,208.06
0.404,207.656
0.404,207.252
0.404,206.848
0.404,206.44400000000002
0.404,206.04000000000002
0.404,205.63600000000002
0.404,205.232
0.404,204.828
0.808,204.424
0.808,204.02
0.808,203.616
0.808,203.21200000000002
0.808,202.80800000000002
0.808,202.40400000000002
0.808,202.0
1.2120000000000002,201.596
1.2120000000000002,201.192
1.2120000000000002,200.788
1.2120000000000002,200.38400000000001
1.616,199.98000000000002
1.616,199.57600000000002
1.616,199.17200000000003
1.616,198.768
2.02,198.364
2.02,197.96
2.02,197.556
2.02,197.15200000000002
2.4240000000000004,196.74800000000002
2.4240000000000004,196.34400000000002
2.4240000000000004,195.94000000000003
2.8280000000000003,195.536
2.8280000000000003,195.132
2.8280000000000003,194.728
2.8280000000000003,194.324
3.232,193.92000000000002
3.232,193.51600000000002
3.636,193.11200000000002
3.636,192.708
3.636,192.304
4.04,191.9
4.04,191.496
4.04,191.092
4.444,190.68800000000002
4.444,190.28400000000002
4.848000000000001,189.88000000000002
4.848000000000001,189.476
4.848000000000001,189.072
5.252000000000001,188.668
5.252000000000001,188.264
5.656000000000001,187.86
5.656000000000001,187.45600000000002
6.0600000000000005,187.05200000000002
6.0600000000000005,186.64800000000002
6.464,186.244
6.464,185.84
6.868,185.436
6.868,185.032
7.272,184.62800000000001
7.272,184.22400000000002
7.676,183.82000000000002
7.676,183.41600000000003
8.08,183.012
8.08,182.608
8.484,182.204
8.888,181.8
8.888,181.39600000000002
9.292,180.99200000000002
9.696000000000002,180.58800000000002
9.696000000000002,180.184
10.100000000000001,179.78
10.504000000000001,179.376
10.504000000000001,178.972
10.908000000000001,178.568
11.312000000000001,178.16400000000002
11.312000000000001,177.76000000000002
11.716000000000001,177.35600000000002
12.120000000000001,176.952
12.524000000000001,176.548
12.524000000000001,176.144
12.928,175.74
13.332,175.336
13.736,174.93200000000002
14.14,174.52800000000002
14.544,174.12400000000002
14.948,173.72
14.948,173.316
15.352,172.912
15.756,172.508
16.16,172.104
16.564,171.70000000000002
16.968,171.29600000000002
17.372,170.89200000000002
17.776,170.488
18.18,170.084
18.584,169.68
18.988,169.276
19.392000000000003,168.872
19.796000000000003,168.872
20.200000000000003,168.46800000000002
20.604000000000003,168.06400000000002
21.008000000000003,167.66
21.412000000000003,167.256
21.816000000000003,166.852
22.220000000000002,166.852
22.624000000000002,166.448
23.028000000000002,166.044
23.432000000000002,165.64000000000001
23.836000000000002,165.64000000000001
24.240000000000002,165.23600000000002
24.644000000000002,164.83200000000002
25.048000000000002,164.428
25.452,164.428
25.856,164.024
26.26,163.62
25.856,163.216
25.856,162.812
25.856,162.40800000000002
25.856,162.00400000000002
26.26,161.60000000000002
26.664,161.60000000000002
27.068,161.196
27.472,161.196
27.876,160.792
28.28,160.388
28.684,160.388
29.088,159.984
29.492,159.58
29.896,159.58
30.3,159.17600000000002
30.704,159.17600000000002
31.108,158.77200000000002
31.512,158.36800000000002
31.916,158.36800000000002
32.32,157.964
32.724000000000004,157.964
33.128,157.56
33.532000000000004,157.156
33.936,157.156
34.34,156.752
34.744,156.752
35.148,156.348
35.552,155.94400000000002
35.956,155.94400000000002
36.36,155.54000000000002
36.764,155.54000000000002
37.168,155.13600000000002
37.572,154.732
37.976,154.732
38.38,154.328
38.784000000000006,153.924
39.188,153.924
39.592000000000006,153.52
39.996,153.52
40.400000000000006,153.116
40.804,152.71200000000002
41.208000000000006,152.71200000000002
41.612,152.30800000000002
42.016000000000005,152.30800000000002
42.42,151.904
42.824000000000005,151.5
43.228,151.5
43.632000000000005,151.096
44.036,151.096
44.440000000000005,150.692
44.844,150.288
45.248000000000005,150.288
45.652,149.88400000000001
46.056000000000004,149.88400000000001
46.46,149.48000000000002
46.864000000000004,149.07600000000002
47.268,149.07600000000002
47.672000000000004,148.672
48.076,148.672
48.480000000000004,148.268
48.884,148.268
49.288000000000004,147.864
49.692,147.46
50.096000000000004,147.46
50.5,147.056
50.904,146.65200000000002
51.308,146.24800000000002
51.712,145.84400000000002
52.11600000000001,145.44
52.52,145.036
52.92400000000001,144.632
52.92400000000001,144.228
53.328,143.824
53.732000000000006,143.42000000000002
54.136,143.01600000000002
54.136,142.61200000000002
54.540000000000006,142.208
54.944,141.804
54.944,141.4
55.348000000000006,140.996
55.348000000000006,140.592
55.752,140.18800000000002
55.752,139.78400000000002
55.752,139.38
56.156000000000006,138.976
56.156000000000006,138.572
56.56,138.168
56.56,137.764
56.56,137.36
56.964000000000006,136.95600000000002
56.964000000000006,136.55200000000002
56.964000000000006,136.148
